Caf,h,Qf,Ca,T,Tf,Tc,Qc,Tcf,Q,Timestamp,label
1,5.999949750430104,100,0.03723720153786083,402.3523130424513,320,345.4385592951412,15,300,100.00000000007721,1,0
1,5.999949750426457,100,0.03723476014687187,402.35294238116455,320,345.4384882729004,15,300,100.00000000004682,2,0
1,5.999949750424246,100,0.037232313587859237,402.35357133722914,320,345.4384186786513,15,300,100.00000000002838,3,0
1,5.999949750422905,100,0.037228453834470786,402.3545647881529,320,345.43830772785617,15,300,100.00000000001721,4,0
1,5.9999497504220916,100,0.037222090094974826,402.35620815519826,320,345.4381215043324,15,300,100.00000000001043,5,0
1,5.9999497504215995,100,0.03723726323703877,402.3522987709157,320,345.438559900213,15,300,100.00000000000634,6,0
1,5.9999497504213,100,0.03723492537074985,402.3528992704964,320,345.43849370596024,15,300,100.00000000000384,7,0
1,5.999949750421119,100,0.0372314782147818,402.35378539936346,320,345.43839502781776,15,300,100.00000000000233,8,0
1,5.999949750421009,100,0.037226392587839774,402.35509688581186,320,345.4382474221255,15,300,100.0000000000014,9,0
1,5.999949750420941,100,0.03721947385980729,402.35688436516403,320,345.4380445772968,15,300,100.00000000000084,10,0
1,5.999949750420901,100,0.037212843012620705,402.3585980386162,320,345.4378499922042,15,300,100.00000000000051,11,0
1,5.999949750420877,100,0.03720705838727487,402.360093179987,320,345.43768010295264,15,300,100.00000000000031,12,0
1,5.999949750420862,100,0.03720234670808603,402.3613111465826,320,345.43754164837975,15,300,100.00000000000018,13,0
1,5.999949750420853,100,0.03722749262472232,402.35482061886546,320,345.4382753059401,15,300,100.00000000000011,14,0
1,5.999949750420848,100,0.03721713177755462,402.3574862170771,320,345.4379779538277,15,300,100.00000000000009,15,0
1,5.9999497504208446,100,0.037233335322883844,402.35331173515374,320,345.4384459379016,15,300,100.00000000000004,16,0
1,5.999949750420843,100,0.037231008181701095,402.3539069381077,320,345.4383816257389,15,300,100.00000000000003,17,0
1,5.999949750420842,100,0.03722683126211138,402.354983203729,320,345.4382606794529,15,300,100.00000000000003,18,0
1,5.999949750420842,100,0.0372199705769892,402.35675593183015,320,345.4380592607073,15,300,100.00000000000003,19,0
1,5.999949750420842,100,0.03723910762625348,402.35182377548114,320,345.4386130133031,15,300,100.00000000000003,20,0
1,5.999949750420841,100,0.037242414562857304,402.3509728498249,320,345.4387082294596,15,300,100.00000000000001,21,0
1,5.999949750420841,100,0.037240755504302184,402.3514008376674,320,345.4386599778954,15,300,100.00000000000001,22,0
1,5.999949750420841,100,0.037240339484530594,402.3515060673512,320,345.4386491539275,15,300,100.00000000000001,23,0
1,5.999949750420841,100,0.03723973536874279,402.3516613677192,320,345.4386318812854,15,300,100.00000000000001,24,0
1,5.999949750420841,100,0.03723883293851498,402.35189337602156,320,345.43860607513625,15,300,100.00000000000001,25,0
1,5.999949750420841,100,0.037237410007579706,402.3522593742916,320,345.4385652931308,15,300,100.00000000000001,26,0
1,5.999949750420841,100,0.03723497836110883,402.352886871275,320,345.43849414889735,15,300,100.00000000000001,27,0
1,5.999949750420841,100,0.03723269979315007,402.35347234584407,320,345.4384295593881,15,300,100.00000000000001,28,0
1,5.999949750420841,100,0.03722919374675191,402.3543740151435,320,345.4383292188417,15,300,100.00000000000001,29,0
1,5.999949750420841,100,0.03722318020592609,402.35592644691917,320,345.438153522356,15,300,100.00000000000001,30,0
1,5.999949750420841,100,0.03723990558320623,402.3516180374909,320,345.4386360744448,15,300,100.00000000000001,31,0
1,5.999949750420841,100,0.03723912955857593,402.3518172628069,320,345.43861436531364,15,300,100.00000000000001,32,0
1,5.999949750420841,100,0.037237872761066146,402.3521403363119,320,345.4385785438691,15,300,100.00000000000001,33,0
1,5.999949750420841,100,0.037235380916076505,402.35278491994035,320,345.43850468968816,15,300,100.00000000000001,34,0
1,5.999949750420841,100,0.03723334649212622,402.3533070431356,320,345.43844751281557,15,300,100.00000000000001,35,0
1,5.999949750420841,100,0.03723044907399359,402.35405064689115,320,345.43836551710183,15,300,100.00000000000001,36,0
1,5.999949750420841,100,0.03722520606880369,402.3554030705827,320,345.43821294447037,15,300,100.00000000000001,37,0
1,5.999949750420841,100,0.037218159186410846,402.3572241293172,320,345.43800599371525,15,300,100.00000000000001,38,0
1,5.999949750420841,100,0.03724038834184241,402.35149397081284,320,345.43864982509456,15,300,100.00000000000001,39,0
1,5.999949750420841,100,0.03723970648204338,402.3516689481108,320,345.438630850817,15,300,100.00000000000001,40,0
1,5.999949750420841,100,0.03731924318113477,402.3076072237221,320,345.35607209742005,15,299.8,100.00000000000001,41,4
1,5.999949750420841,100,0.03752820888557075,402.1991169352104,320,345.2078754127349,15,299.6,100.00000000000001,42,4
1,5.999949750420841,100,0.037776405034357946,402.072332447028,320,345.0433313648242,15,299.4,100.00000000000001,43,4
1,5.999949750420841,100,0.03803555036162437,401.9409294404583,320,344.87451557233953,15,299.2,100.00000000000001,44,4
1,5.999949750420841,100,0.03829895601057154,401.80826573699454,320,344.7045201634245,15,299,100.00000000000001,45,4
1,5.999949750420841,100,0.038565677639975,401.674997822102,320,344.53415793707757,15,298.8,100.00000000000001,46,4
1,5.999949750420841,100,0.03883489355105337,401.5414498082297,320,344.3636155768577,15,298.6,100.00000000000001,47,4
